Date,Date,Min°F,Avg°F,Max°F,Avg1.5m DP°F,Avg1.5m RH%,Avg1.5m LWu.,AvgDir,Avg Speedmph,2m MaxGustmph,2 in.°F,Min°F,Avg°F,TotPrecin,TotalSolarRadMJ/m²,EToin,ETrin
4/1/2021,1,34.6,53.7,72.4,23.7,36.2,0,W,4.8,22.5,NA,49,51.1,0,17.16,0.16,0.24
4/2/2021,2,37.4,55,69.3,27.9,37.4,0,N,3.8,20.7,NA,51.3,53.3,0,19.29,0.14,0.2
4/3/2021,3,40.3,53.2,65,30.8,43.5,0,N,3.7,11.7,NA,52.6,54,0,13.25,0.11,0.16
4/4/2021,4,39.5,51.8,63.2,29.3,44.1,0,N,5.6,20.7,NA,52.6,54.1,0,11.85,0.13,0.19
4/5/2021,5,33.4,48,60.6,20,36.3,0,NW,5.1,18.9,NA,51.7,53.7,0,22.56,0.14,0.2
4/6/2021,6,33,50.2,66.8,25.4,40.6,0,W,4.5,15.3,NA,51.4,53.6,0,22.3,0.15,0.21
4/7/2021,7,35.8,49.9,61.7,28.6,46.2,0,N,6.6,27.8,NA,52.3,53.7,0,9.8,0.12,0.19
4/8/2021,8,35.6,48.6,57.6,21.8,38.1,0,W,7.3,27.8,NA,52.1,53.9,0,22.99,0.15,0.22
4/9/2021,9,30,48.1,65.2,22.7,41.9,0.01,N,6.7,27.8,NA,51.2,53.3,0,22.78,0.17,0.25
4/10/2021,10,36.3,48.3,54.7,19.3,34.1,0,NW,10.7,33.2,NA,53.1,54.5,0,21.15,0.16,0.25
4/11/2021,11,25.4,41.2,55,15.1,38.9,0,W,3.9,13.5,NA,50.9,53.2,0,23.4,0.12,0.16
4/12/2021,12,27.2,46,60.6,14.7,32.2,0,NE,6,27.8,NA,50.5,52.8,0,23.13,0.16,0.23
4/13/2021,13,43.4,53.3,62.3,12.2,19.9,0,NE,11.1,29.6,NA,52.3,53.9,0,23.21,0.23,0.35
4/14/2021,14,41.4,56.3,68.5,19.3,23.8,0,NE,7.9,27.8,NA,53,54.9,0,23.68,0.22,0.32
4/15/2021,15,45.4,60.4,72.9,27.2,29.6,0,NE,6.1,20.7,NA,54.3,56.4,0,24.07,0.21,0.3
4/16/2021,16,39.4,58.3,74,23.4,31.3,0,NE,5.3,24.3,NA,55.4,57.7,0,24.63,0.2,0.29
4/17/2021,17,38.9,59.1,77.5,25.2,30.7,0,NE,4.3,17.1,NA,56.2,58.7,0,24.62,0.2,0.28
4/18/2021,18,41.5,64.3,83.8,26.8,28.1,0,W,5.3,17.1,NA,57.7,60.4,0,24.5,0.24,0.35
4/19/2021,19,41.4,54.6,64.4,18,26.3,0,NE,6.6,29.6,NA,59.7,61.6,0,23.64,0.19,0.28
4/20/2021,20,33.3,52.2,66.8,20.9,32.4,0,NE,5.3,22.5,NA,57.6,60.2,0,25.06,0.18,0.25
4/21/2021,21,36.7,56.5,72.6,24.9,33.2,0,W,4.3,17.1,NA,57.7,60.4,0,25.1,0.19,0.26
4/22/2021,22,44.9,60.9,74.8,30,33.7,0,W,4.8,22.5,NA,59.7,62.1,0,22,0.19,0.27
4/23/2021,23,39.1,55.8,66,32,43.2,0.02,W,4,15.3,NA,60.3,62.5,0,20.54,0.14,0.19
4/24/2021,24,50.9,55.2,62.3,34.7,46.3,0.04,W,5.1,18.9,NA,61.6,62.6,0,13.58,0.14,0.19
4/25/2021,25,39.2,53.1,65.2,32.5,49.3,0.09,W,3.9,20.7,NA,59.3,61.8,0,22.93,0.15,0.19
4/26/2021,26,36.9,54,67.8,32.3,48.7,0.09,W,5.6,24.3,NA,60,62.7,0,27.38,0.18,0.24
4/27/2021,27,36.3,56.1,71.1,32.8,44.9,0.03,W,4,20.7,NA,61,63.6,0,24.79,0.17,0.22
4/28/2021,28,41.9,61.3,76.6,34.7,41,0.02,N,3.6,11.7,NA,62.2,64.7,0,23.5,0.18,0.24
4/29/2021,29,52.7,69,84.6,34.8,31.9,0,W,3.5,17.1,NA,64.1,66.4,0,23.08,0.21,0.28
4/30/2021,30,52.3,65.5,79.3,36.3,35,0,W,4.2,13.5,NA,65.3,66.8,0,18.64,0.19,0.26
